,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL2105759,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,active,371.4260000000001,1.09568,1.0,7.0,7.542118103266008
1,CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,active,312.377,1.5447799999999996,1.0,5.0,7.455931955649724
2,CHEMBL1789941,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,active,306.37300000000005,3.466380000000001,1.0,5.0,6.7121982700697735
5,CHEMBL3765822,CC(C)[C@@H](C)n1cc(-c2cc(C(C)(C)O)n(C)n2)c2[nH]nc(N)c2c1=O,active,358.44600000000014,2.1517,3.0,7.0,7.187086643357144
6,CHEMBL3644620,CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3cnc(N5CCCCC5)cn3)C4)n[nH]c2c1,active,566.6410000000003,5.005900000000003,3.0,7.0,6.2076083105017466
7,CHEMBL4101374,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)c2ccccc2)C1,active,357.43900000000014,1.9035999999999997,2.0,5.0,6.806875401645538
8,CHEMBL4100431,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(C)(=O)=O)C1,active,295.3680000000001,0.4742999999999998,2.0,5.0,6.1249387366083
9,CHEMBL4092805,CCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,active,309.39500000000004,0.8644000000000001,2.0,5.0,6.031517051446065
10,CHEMBL3655082,CC(C)CS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,active,337.44900000000007,1.5004999999999995,2.0,5.0,6.673664139071248
11,CHEMBL3655080,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)CC(F)(F)F)C1,active,363.3650000000001,1.4067999999999998,2.0,5.0,6.8326826652518236
12,CHEMBL4103698,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)c2ccc(F)cc2)C1,active,375.42900000000014,2.0427,2.0,5.0,6.97061622231479
14,CHEMBL4098094,CCCNS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,active,338.43700000000007,0.7591000000000006,3.0,5.0,6.480172006224281
15,CHEMBL3655097,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)NCC2CC2)C1,active,350.4480000000002,0.7590999999999997,3.0,5.0,6.111820506081675
16,CHEMBL4100048,CCS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,active,308.4070000000001,1.6073999999999997,1.0,5.0,6.142064735280571
18,CHEMBL3658860,CCCCS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,active,336.46100000000007,2.3876,1.0,5.0,6.809668301829708
19,CHEMBL3655081,CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,active,323.4220000000001,1.2544999999999995,2.0,5.0,6.723538195826756
21,CHEMBL4087961,CCCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,active,337.44900000000007,1.6445999999999998,2.0,5.0,6.59176003468815
22,CHEMBL4059667,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)C2CC2)C1,active,321.4060000000002,1.0068999999999997,2.0,5.0,7.050609993355087
23,CHEMBL3655095,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)CC2CC2)C1,active,335.4330000000002,1.2544999999999995,2.0,5.0,6.586700235918748
24,CHEMBL4068319,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)CC2CCC2)C1,active,349.46000000000026,1.6445999999999994,2.0,5.0,6.701146923590294
25,CHEMBL4103435,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)CCC(F)(F)F)C1,active,377.39200000000017,1.7968999999999997,2.0,5.0,6.1598939055432425
26,CHEMBL4079179,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)CCCC(F)(F)F)C1,active,391.4190000000002,2.1869999999999994,2.0,5.0,6.43533393574791
27,CHEMBL4065613,COCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,active,339.4210000000001,0.4909000000000006,2.0,6.0,6.2020403562628035
28,CHEMBL4087044,COCCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,active,353.4480000000001,0.8810000000000002,2.0,6.0,6.221125527997261
29,CHEMBL4099048,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)CCCC#N)C1,active,348.43200000000024,1.1482799999999997,2.0,6.0,6.665546248849069
30,CHEMBL3655086,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)CC2COC2)C1,active,351.43200000000024,0.49089999999999967,2.0,6.0,6.795880017344075
31,CHEMBL4085264,CCN(C)S(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,active,338.43700000000007,0.7112000000000009,2.0,5.0,6.684029654543083
32,CHEMBL4063642,CN(C1CC1)S(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,active,350.4480000000001,0.8536999999999999,2.0,5.0,6.730487055782084
34,CHEMBL3655104,CN(CCC#N)S(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,active,363.4470000000001,0.6049800000000007,2.0,6.0,6.85078088734462
35,CHEMBL4066404,CCCCN(C)S(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,active,365.50300000000004,2.2344,1.0,5.0,6.1904402853647325
36,CHEMBL4093955,CN(CC1CC1)S(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,active,363.4870000000001,1.8442999999999996,1.0,5.0,6.8297382846050425
37,CHEMBL4104105,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)N2CCCC2)C1,active,349.4600000000002,1.5983,1.0,5.0,6.675717544702307
39,CHEMBL4288086,C=CC(=O)Nc1cccc(-c2ncnc3[nH]cc(CCOC)c23)c1,inactive,322.3680000000001,2.938300000000001,2.0,4.0,5.0
40,CHEMBL4284396,COCCc1c[nH]c2ncnc(-c3ccc4c(c3)N(C#N)CC(F)(F)O4)c12,inactive,371.34700000000015,3.0864800000000017,1.0,6.0,5.0
42,CHEMBL4294868,N#CN[C@H]1C[C@@H](O)c2ccc(-c3ncnc4[nH]ccc34)cc21,inactive,291.3140000000001,2.17378,3.0,5.0,5.0
43,CHEMBL4292320,CS(=O)(=O)N[C@@H]1C[C@H](NC#N)c2cc(-c3ncnc4[nH]ccc34)ccc21,inactive,368.4220000000001,1.7306799999999989,3.0,6.0,5.0
44,CHEMBL4285555,N#CN[C@H]1C[C@@H](NS(=O)(=O)c2cccc(C#N)c2)c2ccc(-c3ncnc4[nH]ccc34)cc21,inactive,455.50300000000016,3.0316600000000014,3.0,7.0,5.0
45,CHEMBL4277610,N#CN[C@H]1C[C@@H](NS(=O)(=O)c2cccc(F)c2)c2ccc(-c3ncnc4[nH]ccc34)cc21,inactive,448.4830000000002,3.299080000000001,3.0,6.0,5.0
46,CHEMBL4277193,COc1ccc(S(=O)(=O)N[C@@H]2C[C@H](NC#N)c3cc(-c4ncnc5[nH]ccc45)ccc32)cc1,inactive,460.5190000000002,3.1685800000000013,3.0,7.0,5.0
47,CHEMBL4287845,N#CN[C@H]1CCc2ccc(-c3ncnc4[nH]cc(-c5ccccc5)c34)cc21,inactive,351.41300000000007,4.349880000000002,2.0,4.0,5.0
49,CHEMBL4435170,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,active,425.4673053340002,1.7324,3.0,9.0,8.301029995663981
50,CHEMBL4587924,CNC(=O)c1cnc(Nc2ccc(F)cn2)cc1Nc1cccc(C#N)c1OC,active,392.3940000000001,3.342780000000001,3.0,7.0,7.468521082957745
51,CHEMBL4530035,CNC(=O)c1cnc(Nc2ccc(F)cn2)cc1Nc1cccc(C(=O)O)c1OC,inactive,411.39300000000014,3.1693000000000007,4.0,7.0,5.0
52,CHEMBL4582205,CNC(=O)c1cnc(Nc2ccc(F)cn2)cc1Nc1cccc(C(N)=O)c1OC,active,410.40900000000016,2.5700000000000003,4.0,7.0,7.200659450546418
53,CHEMBL4524832,CNC(=O)c1cnc(Nc2ccc(F)cn2)cc1Nc1cccc(C(=O)NC)c1OC,active,424.43600000000015,2.830700000000001,4.0,7.0,7.107905397309519
55,CHEMBL4581296,CNC(=O)c1cnc(Nc2ccc(F)cn2)cc1Nc1ccc(C(N)=O)cc1OC,active,410.40900000000016,2.5700000000000003,4.0,7.0,6.031517051446065
56,CHEMBL4534832,CNC(=O)c1ccc(Nc2cc(Nc3ccc(F)cn3)ncc2C(=O)NC)c(OC)c1,active,424.43600000000015,2.8307,4.0,7.0,6.309803919971486
57,CHEMBL4537259,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(C(N)=O)c1OC,active,424.4360000000002,2.87842,4.0,7.0,7.522878745280337
58,CHEMBL4468025,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(C(=O)NC)c1OC,active,438.4630000000002,3.139120000000001,4.0,7.0,7.327902142064283
59,CHEMBL4441840,CCNC(=O)c1cccc(Nc2cc(Nc3cc(C)c(F)cn3)ncc2C(=O)NC)c1OC,active,452.4900000000002,3.5292200000000022,4.0,7.0,7.552841968657781
60,CHEMBL4577224,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(C(=O)N(C)C)c1OC,active,452.49000000000024,3.481320000000002,3.0,7.0,6.886056647693163
61,CHEMBL4527672,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(C(=O)NCC2CC2)c1OC,active,478.5280000000003,3.9193200000000026,4.0,7.0,7.1938200260161125
62,CHEMBL4439617,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(C(=O)NCCO)c1OC,active,468.48900000000026,2.501620000000001,5.0,8.0,6.657577319177793
63,CHEMBL4578980,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(C(=O)NCCN2CCOCC2)c1OC,active,537.5960000000003,2.841520000000001,4.0,9.0,7.292429823902063
64,CHEMBL4474729,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(C(=O)NCc2ccccn2)c1OC,active,515.5490000000002,4.104520000000003,4.0,8.0,7.657577319177793
65,CHEMBL4543984,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2nnco2)c1OC,active,449.4460000000002,3.8295200000000023,3.0,9.0,7.823908740944319
66,CHEMBL4443834,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2nnc(C)o2)c1OC,active,463.47300000000024,4.137940000000003,3.0,9.0,7.920818753952375
67,CHEMBL4566158,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2ccn(C)n2)c1OC,active,461.5010000000002,4.1800200000000025,3.0,8.0,8.045757490560675
68,CHEMBL4572426,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2ccnn2C)c1OC,active,461.5010000000002,4.1800200000000025,3.0,8.0,7.154901959985743
69,CHEMBL4572855,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2nc[nH]n2)c1OC,active,448.46200000000016,3.5646200000000015,4.0,8.0,8.096910013008056
70,CHEMBL4457060,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2n[nH]c(C)n2)c1OC,active,462.4890000000002,3.8730400000000014,4.0,8.0,8.154901959985743
71,CHEMBL4435079,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2nncn2C)c1OC,active,462.4890000000002,3.575020000000001,3.0,9.0,7.795880017344075
72,CHEMBL4565054,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2ncnn2C)c1OC,active,462.4890000000002,3.575020000000001,3.0,9.0,7.823908740944319
73,CHEMBL4557190,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,active,462.4890000000002,3.575020000000001,3.0,9.0,8.397940008672037
74,CHEMBL4469750,CNC(=O)c1cnc(Nc2ccc(C#N)cn2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,active,455.4820000000002,2.999180000000001,3.0,10.0,8.221848749616356
75,CHEMBL4559585,CNC(=O)c1cnc(Nc2ccc(C(F)(F)F)cn2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,active,498.46900000000016,4.146300000000002,3.0,9.0,7.920818753952375
76,CHEMBL4580625,CNC(=O)c1cnc(Nc2cc(C)nc(C)n2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,active,459.5140000000002,3.1393400000000016,3.0,10.0,7.920818753952375
77,CHEMBL4476261,CNC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,active,421.4610000000001,2.3373999999999997,3.0,8.0,7.853871964321762
