molecule_chembl_id,canonical_smiles,standard_value
CHEMBL2105759,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,28.7
CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,35.0
CHEMBL1789941,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,194.0
CHEMBL3039513,CC[C@@](C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F,1290.0
CHEMBL3301607,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,1500.0
CHEMBL3765822,CC(C)[C@@H](C)n1cc(-c2cc(C(C)(C)O)n(C)n2)c2[nH]nc(N)c2c1=O,65.0
CHEMBL3644620,CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3cnc(N5CCCCC5)cn3)C4)n[nH]c2c1,620.0
CHEMBL4101374,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)c2ccccc2)C1,156.0
CHEMBL4100431,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(C)(=O)=O)C1,750.0
CHEMBL4092805,CCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,930.0
CHEMBL3655082,CC(C)CS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,212.0
CHEMBL3655080,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)CC(F)(F)F)C1,147.0
CHEMBL4103698,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)c2ccc(F)cc2)C1,107.0
CHEMBL4085011,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)Cc2ccccc2)C1,2480.0
CHEMBL4098094,CCCNS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,331.0
CHEMBL3655097,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)NCC2CC2)C1,773.0
CHEMBL4100048,CCS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,721.0
CHEMBL4090590,CCCS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,1400.0
CHEMBL3658860,CCCCS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,155.0
CHEMBL3655081,CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,189.0
CHEMBL4101725,CCCS(=O)(=O)N[C@H]1C[C@H](N(C)c2ncnc3[nH]ccc23)C1,6450.0
CHEMBL4087961,CCCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,256.0
CHEMBL4059667,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)C2CC2)C1,89.0
CHEMBL3655095,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)CC2CC2)C1,259.0
CHEMBL4068319,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)CC2CCC2)C1,199.0
CHEMBL4103435,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)CCC(F)(F)F)C1,692.0
CHEMBL4079179,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)CCCC(F)(F)F)C1,367.0
CHEMBL4065613,COCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,628.0
