activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,14751962,[],CHEMBL3299207,Inhibition of JAK1/TYK2 in human whole blood assessed as inhibition of IFN-alpha-induced STAT-3 phosphorylation preincubated for 45 mins followed by IFN-alpha addition measured after 15 mins by FACS analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,,,CHEMBL3297690,J. Med. Chem.,2014,"{'bei': '20.31', 'le': '0.40', 'lle': '6.44', 'sei': '6.26'}",CHEMBL2105759,BARICITINIB,CHEMBL2105759,7.54,0,http://www.openphacts.org/units/Nanomolar,2119852,=,1,1,=,,IC50,nM,,28.7,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,nM,UO_0000065,,28.7
,14751968,[],CHEMBL3299207,Inhibition of JAK1/TYK2 in human whole blood assessed as inhibition of IFN-alpha-induced STAT-3 phosphorylation preincubated for 45 mins followed by IFN-alpha addition measured after 15 mins by FACS analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,,,CHEMBL3297690,J. Med. Chem.,2014,"{'bei': '23.87', 'le': '0.44', 'lle': '5.92', 'sei': '8.39'}",CHEMBL221959,TOFACITINIB,CHEMBL221959,7.46,1,http://www.openphacts.org/units/Nanomolar,2119757,=,1,1,=,,IC50,nM,,35.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,nM,UO_0000065,,35.0
,14751990,[],CHEMBL3299207,Inhibition of JAK1/TYK2 in human whole blood assessed as inhibition of IFN-alpha-induced STAT-3 phosphorylation preincubated for 45 mins followed by IFN-alpha addition measured after 15 mins by FACS analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,,,CHEMBL3297690,J. Med. Chem.,2014,"{'bei': '21.91', 'le': '0.40', 'lle': '3.24', 'sei': '8.07'}",CHEMBL1789941,RUXOLITINIB,CHEMBL1789941,6.71,1,http://www.openphacts.org/units/Nanomolar,2119851,=,1,1,=,,IC50,nM,,194.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,nM,UO_0000065,,194.0
,14752006,[],CHEMBL3299207,Inhibition of JAK1/TYK2 in human whole blood assessed as inhibition of IFN-alpha-induced STAT-3 phosphorylation preincubated for 45 mins followed by IFN-alpha addition measured after 15 mins by FACS analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CC[C@@](C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F,,,CHEMBL3297690,J. Med. Chem.,2014,"{'bei': '15.01', 'le': '0.29', 'lle': '2.61', 'sei': '6.16'}",CHEMBL3039513,DECERNOTINIB,CHEMBL3039513,5.89,0,http://www.openphacts.org/units/Nanomolar,2119853,=,1,1,=,,IC50,nM,,1290.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,nM,UO_0000065,,1290.0
,14752008,[],CHEMBL3299207,Inhibition of JAK1/TYK2 in human whole blood assessed as inhibition of IFN-alpha-induced STAT-3 phosphorylation preincubated for 45 mins followed by IFN-alpha addition measured after 15 mins by FACS analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,,,CHEMBL3297690,J. Med. Chem.,2014,"{'bei': '13.69', 'le': '0.27', 'lle': '3.84', 'sei': '6.02'}",CHEMBL3301607,FILGOTINIB,CHEMBL3301607,5.82,0,http://www.openphacts.org/units/Nanomolar,2119854,=,1,1,=,,IC50,nM,,1500.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,nM,UO_0000065,,1500.0
,15116679,[],CHEMBL3382728,Inhibition of JAK1/TYK2 in IFN-alphaB2-induced human U2OS cells assessed as pSTAT1,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,,,CHEMBL3351789,J. Med. Chem.,2014,"{'bei': '14.95', 'le': '0.29', 'lle': '4.38', 'sei': '6.58'}",CHEMBL3301607,FILGOTINIB,CHEMBL3301607,6.36,0,http://www.openphacts.org/units/Nanomolar,2270952,=,1,1,=,,IC50,nM,,436.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,nM,UO_0000065,,436.0
,16481240,[],CHEMBL3766666,Inhibition of TYK2/JAK1 in human PBMC assessed as reduction in IFNalpha-induced STAT1 phosphorylation preincubated for 5 mins followed by IFNalpha stimulation for 15 to 60 mins by flow cytometry analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,,,CHEMBL3763089,J. Med. Chem.,2016,"{'bei': '21.06', 'le': '0.41', 'lle': '6.72', 'sei': '6.49'}",CHEMBL2105759,BARICITINIB,CHEMBL2105759,7.82,0,http://www.openphacts.org/units/Nanomolar,2756972,=,1,1,=,,IC50,nM,,15.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,nM,UO_0000065,,15.0
,16481241,[],CHEMBL3766666,Inhibition of TYK2/JAK1 in human PBMC assessed as reduction in IFNalpha-induced STAT1 phosphorylation preincubated for 5 mins followed by IFNalpha stimulation for 15 to 60 mins by flow cytometry analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(C)[C@@H](C)n1cc(-c2cc(C(C)(C)O)n(C)n2)c2[nH]nc(N)c2c1=O,,,CHEMBL3763089,J. Med. Chem.,2016,"{'bei': '20.05', 'le': '0.38', 'lle': '5.04', 'sei': '6.26'}",CHEMBL3765822,,CHEMBL3765822,7.19,0,http://www.openphacts.org/units/Nanomolar,2756971,=,1,1,=,,IC50,nM,,65.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,nM,UO_0000065,,65.0
,18007385,[],CHEMBL4003464,Inhibition of JAK1/TYK2 in human whole blood lymphocytes assessed as inhibition of IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition and measured after 20 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000219,cell-based format,CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3cnc(N5CCCCC5)cn3)C4)n[nH]c2c1,,,CHEMBL4002590,J Med Chem,2017,"{'bei': '10.96', 'le': '0.20', 'lle': '1.20', 'sei': '4.89'}",CHEMBL3644620,,CHEMBL3644620,6.21,0,http://www.openphacts.org/units/Nanomolar,2983992,=,1,1,=,,IC50,nM,,620.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,0.62
,18007386,[],CHEMBL4003465,Inhibition of JAK2/TYK2 in human whole blood lymphocytes assessed as inhibition of IL-23 induced STAT3 phosphorylation preincubated for 45 mins followed by IL23 addition and measured after 20 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000219,cell-based format,CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3cnc(N5CCCCC5)cn3)C4)n[nH]c2c1,,,CHEMBL4002590,J Med Chem,2017,"{'bei': '9.49', 'le': '0.17', 'lle': '0.37', 'sei': '4.24'}",CHEMBL3644620,,CHEMBL3644620,5.38,0,http://www.openphacts.org/units/Nanomolar,2983992,=,1,1,=,,IC50,nM,,4200.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,4.2
